212	DOD	Apr 07, 2016 15:23:46 PM
222	LOCKHART	Apr 07, 2016 15:30:09 PM
104	DOD	Apr 07, 2016 15:30:45 PM
170	SCULLY	Apr 07, 2016 15:44:51 PM
266	SCULLY	Apr 07, 2016 15:52:03 PM
166	SCULLY	Apr 07, 2016 15:54:00 PM
080	PATTON	Apr 07, 2016 16:00:28 PM
122	PYNE	Apr 07, 2016 16:09:57 PM
201	LOCKHART	Apr 07, 2016 16:14:45 PM
112	DOD	Apr 07, 2016 16:17:40 PM
116	DOD	Apr 07, 2016 16:22:19 PM
102	DOD	Apr 07, 2016 16:30:15 PM
322	LOCKHART	Apr 07, 2016 16:37:26 PM
103	HENRY	Apr 07, 2016 16:44:17 PM
133	PYNE	Apr 07, 2016 16:45:00 PM
A16	LITTLE	Apr 07, 2016 16:47:52 PM
081	PATTON	Apr 07, 2016 16:53:29 PM
324	LOCKHART	Apr 07, 2016 16:58:17 PM
323	LOCKHART	Apr 07, 2016 16:58:21 PM
211	LOCKHART	Apr 07, 2016 17:01:45 PM
101	HENRY	Apr 07, 2016 17:06:10 PM
085	PATTON	Apr 07, 2016 17:13:10 PM
E402	WILF	Apr 07, 2016 17:13:46 PM
123	PYNE	Apr 07, 2016 17:20:23 PM
A20	LITTLE	Apr 07, 2016 17:20:42 PM
135	PYNE	Apr 07, 2016 17:32:41 PM
132	1903	Apr 07, 2016 17:33:05 PM
213	LOCKHART	Apr 07, 2016 17:48:44 PM
113	DOD	Apr 07, 2016 17:50:38 PM
A10	LITTLE	Apr 07, 2016 17:55:27 PM
E405	WILF	Apr 07, 2016 18:03:31 PM
090	PATTON	Apr 07, 2016 18:24:29 PM
232	LOCKHART	Apr 07, 2016 18:52:08 PM
103	DOD	Apr 07, 2016 18:59:41 PM
123	1903	Apr 07, 2016 19:01:41 PM
A14	LITTLE	Apr 07, 2016 19:08:50 PM
231	LOCKHART	Apr 07, 2016 19:12:39 PM
124	PYNE	Apr 07, 2016 19:44:04 PM
A303	FISHER	Apr 08, 2016 09:00:48 AM
474	BLOOMBERG	Apr 08, 2016 09:01:01 AM
121	HAMILTON	Apr 08, 2016 09:02:56 AM
D304	1976	Apr 08, 2016 09:04:45 AM
221	HAMILTON	Apr 08, 2016 09:08:28 AM
F201	1981	Apr 08, 2016 09:08:53 AM
309	BLOOMBERG	Apr 08, 2016 09:09:46 AM
311	BLOOMBERG	Apr 08, 2016 09:09:46 AM
A224	FISHER	Apr 08, 2016 09:10:10 AM
047	LITTLE	Apr 08, 2016 09:12:34 AM
E103	WILF	Apr 08, 2016 09:13:37 AM
E113	BAKER	Apr 08, 2016 09:13:58 AM
465	BLOOMBERG	Apr 08, 2016 09:16:47 AM
461	BLOOMBERG	Apr 08, 2016 09:16:52 AM
C214	WENDELL	Apr 08, 2016 09:17:13 AM
463	BLOOMBERG	Apr 08, 2016 09:17:40 AM
A323	FISHER	Apr 08, 2016 09:18:35 AM
430	BLOOMBERG	Apr 08, 2016 09:21:10 AM
D114	1976	Apr 08, 2016 09:22:33 AM
B407	WENDELL	Apr 08, 2016 09:22:36 AM
327	BLOOMBERG	Apr 08, 2016 09:25:10 AM
385	LITTLE	Apr 08, 2016 09:25:49 AM
124	BLOOMBERG	Apr 08, 2016 09:26:50 AM
F301	1981	Apr 08, 2016 09:28:39 AM
057	LITTLE	Apr 08, 2016 09:30:29 AM
413	BLOOMBERG	Apr 08, 2016 09:30:46 AM
409	BLOOMBERG	Apr 08, 2016 09:34:52 AM
451	BLOOMBERG	Apr 08, 2016 09:36:25 AM
